name,minutes,slap,kick,ban,rename,admin_chat
95 | HakeRs,355,0,0,0,0,0
< gHo$T R1D3r=  >,362,2,0,1,0,1
Altair Ibn La Ahad,0,0,0,0,0,0
BaReS,831,0,0,0,0,0
BaRoN,187,0,0,2,1,0
DS || DaWaWeeN,488,0,0,0,0,0
DS || Miladiii,0,0,0,0,0,0
DS || MuSTaFa,0,0,0,0,0,0
DS || fReak*,0,0,0,0,0,0
GuNsNGloRy | AmmaR,167,3,0,0,1,1
J 4 C K | R 3 4 C H 3 R,116,0,0,0,0,0
LeaNuX || MeMo,0,0,0,0,1,2
N00bie || (0-0),0,0,0,0,0,0
N00bie || MOUSE?,25,0,0,0,0,0
N00bie || WOLF,36,0,0,0,0,0
Noor,0,0,0,0,0,0
R()CK~KI||3R,414,1,2,0,0,0
US-B,627,5,1,1,0,4
anouar,0,0,0,0,0,0
chani,1769,4,1,0,0,3
s@bin@,370,0,0,0,0,0
what the,602,0,0,0,0,0
